cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,tflops,bw,_tag
256,1,4096,256,256,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,18.4899,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,8.7153,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_atomic_bnt2,0.0%,27.2052,0,0,4.86,155407.05,
256,2,4096,256,256,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,19.5544,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_gui_fp8,0.0%,9.9572,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_atomic_bnt2,0.0%,29.5116,0,0,8.95,143262.36,
256,4,4096,256,256,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,21.8912,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w2_gui_xcd4_fp8,0.0%,16.1003,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_atomic_bnt2_xcd4,0.0%,37.9915,0,0,13.91,111286.59,
256,8,4096,256,256,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,32.3934,flydsl_moe1_afp8_wfp4_bf16_t32x64x256_w3_gui_fp8,0.0%,23.2222,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_atomic_bnt2_xcd4,0.0%,55.6156,0,0,19.0,76022.38,
256,16,4096,256,256,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,61.1107,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,36.6618,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_atomic_bnt2_xcd4,0.0%,97.7725,0,0,21.62,43245.31,
256,32,4096,256,256,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,115.8571,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w4_gui_fp8,0.0%,62.9204,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_atomic_bnt2_xcd4,0.0%,178.7775,0,0,23.65,23652.57,
256,64,4096,256,256,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,227.1174,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,117.4534,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_atomic_bnt2_xcd4_persist,0.0%,344.5708,0,0,24.54,12273.92,
256,128,4096,256,256,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,227.6502,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,120.4705,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_atomic_bnt2_xcd4_persist,0.0%,348.1207,0,0,48.58,12152.71,
256,256,4096,256,256,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,226.7966,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,125.8372,flydsl_moe2_afp8_wfp4_bf16_t16x128x256_atomic_bnt2_sbm32,0.0%,352.6338,0,0,95.91,12004.98,
256,512,4096,256,256,6,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,229.3454,flydsl_moe1_afp8_wfp4_bf16_t32x128x256_w3_gui_fp8,0.0%,134.1083,flydsl_moe2_afp8_wfp4_bf16_t32x256x256_atomic_bnt2_persist,0.0%,363.4537,0,0,186.12,11662.75,
